id,school
25,Boise State
189,Nevada
329,Utah State
92,Fresno State
260,San José State
84,Fairleigh Dickinson
341,Wagner
146,Long Island University
278,St. Francis (PA)
44,Central Connecticut
284,Stonehill
140,Le Moyne
165,Mercyhurst
50,Chicago State
181,Morehead State
291,Tennessee Tech
290,Tennessee State
272,Southeast Missouri State
325,UT Martin
77,Eastern Illinois
247,SIU Edwardsville
144,Little Rock
365,Southern Indiana
349,Western Illinois
366,Lindenwood
32,Bucknell
55,Colgate
111,Holy Cross
141,Lehigh
187,Navy
138,Lafayette
15,Army
8,American University
27,Boston University
152,Loyola Maryland
135,Kentucky
5,Alabama
292,Tennessee
87,Florida
336,Vanderbilt
136,LSU
16,Auburn
174,Mississippi State
98,Georgia
220,Ole Miss
12,Arkansas
266,South Carolina
293,Texas A&M
177,Missouri
217,Oklahoma
295,Texas
274,Southern
296,Texas Southern
126,Jackson State
7,Alcorn State
6,Alabama State
103,Grambling
175,Mississippi Valley State
232,Prairie View A&M
4,Alabama A&M
14,Arkansas-Pine Bluff
23,Bethune-Cookman
85,Florida A&M
49,Chattanooga
299,The Citadel
348,Western Carolina
356,Wofford
320,UNC Greensboro
93,Furman
256,Samford
164,Mercer
162,McNeese
211,Northwestern State
195,Nicholls
246,SE Louisiana
294,Texas A&M-Corpus Christi
193,New Orleans
120,Incarnate Word
112,Houston Christian
76,East Texas A&M
326,UT Rio Grande Valley
270,South Dakota State
202,North Dakota State
269,South Dakota
221,Omaha
68,Denver
201,North Dakota
280,St. Thomas-Minnesota
265,South Alabama
148,Louisiana
13,Arkansas State
302,Troy
316,UL Monroe
297,Texas State
99,Georgia Southern
9,App State
54,Coastal Carolina
129,James Madison
275,Southern Miss
158,Marshall
332,Utah Valley
39,California Baptist
288,Tarleton State
1,Abilene Christian
330,Utah Tech
276,Southern Utah
259,San Francisco
261,Santa Clara
253,Saint Mary's
102,Gonzaga
228,Pepperdine
153,Loyola Marymount
258,San Diego
230,Portland
344,Washington State
224,Oregon State
219,Old Dominion
56,Colorado
66,Delaware
104,Grand Canyon
176,Missouri State
1507,New Haven
262,Seattle U
161,Massachusetts
282,Stephen F. Austin
324,UT Arlington
139,Lamar
314,UConn
130,Kansas City
222,Oral Roberts
334,VMI
75,East Tennessee State
117,Idaho
100,Georgia State
225,Pacific
301,Towson
208,Northern Illinois
73,Duquesne
311,UC Santa Barbara
29,Bradley
70,Drake
